"","id","site","sex","age","viewcat","setting","viewenc","prebody","prelet","preform","prenumb","prerelat","preclasf","postbody","postlet","postform","postnumb","postrelat","postclasf","peabody","agecat","encour","regular","improvelet","improveform","improvenumb","improverelat","improveclasf","improvebody"
"222",222,4,0,59,4,0,0,28,17,12,27,10,11,31,46,19,29,16,20,61,1,1,1,29,7,2,6,9,3
"223",223,5,0,48,2,0,0,16,8,8,9,8,8,24,11,9,11,8,7,35,0,1,1,3,1,2,0,-1,8
"224",224,5,0,56,2,0,0,22,17,11,23,14,13,30,20,17,38,13,21,58,1,1,1,3,6,15,-1,8,8
"225",225,5,1,58,2,0,0,20,18,8,26,11,10,30,44,12,40,13,21,59,1,1,1,26,4,14,2,11,10
"226",226,5,1,53,1,0,0,15,11,2,8,10,5,18,19,10,14,6,8,34,1,1,0,8,8,6,-4,3,3
"227",227,5,1,53,1,0,0,26,16,8,14,10,9,28,13,12,18,10,11,41,1,1,0,-3,4,4,0,2,2
"228",228,5,1,65,1,0,1,15,16,5,24,12,12,22,15,12,26,11,19,44,1,0,0,-1,7,2,-1,7,7
"229",229,5,0,46,1,0,1,15,5,5,4,9,4,15,13,10,10,8,11,41,0,0,0,8,5,6,-1,7,0
"230",230,5,0,49,1,0,1,19,12,12,16,13,15,28,16,14,36,14,16,59,0,0,0,4,2,20,1,1,9
"231",231,5,0,55,1,0,1,21,40,8,36,9,10,27,49,13,47,9,17,53,1,0,0,9,5,11,0,7,6
"232",232,5,1,46,2,0,0,20,9,6,17,10,11,29,13,12,23,12,8,31,0,1,1,4,6,6,2,-3,9
"233",233,5,1,58,4,0,0,30,55,19,52,15,23,31,54,19,54,15,23,78,1,1,1,-1,0,2,0,0,1
"234",234,5,0,47,4,0,0,18,13,9,20,8,11,28,34,17,33,11,18,43,0,1,1,21,8,13,3,7,10
"235",235,5,0,53,4,0,0,26,25,14,36,13,13,30,44,19,43,15,23,90,1,1,1,19,5,7,2,10,4
"236",236,5,1,51,2,0,0,30,15,8,12,10,10,30,33,12,45,12,20,49,0,1,1,18,4,33,2,10,0
"237",237,5,0,49,4,0,0,17,16,12,15,8,15,25,26,15,20,12,11,41,0,1,1,10,3,5,4,-4,8
"238",238,5,0,43,2,0,0,16,13,6,11,8,9,22,19,10,10,9,7,30,0,1,1,6,4,-1,1,-2,6
"239",239,5,1,60,3,0,0,23,16,9,33,14,16,29,35,18,50,13,23,69,1,1,1,19,9,17,-1,7,6
"240",240,5,0,51,4,0,0,21,11,10,27,10,12,25,32,17,47,11,19,65,0,1,1,21,7,20,1,7,4
